date,start,high,low,end,adjusted
2020/02/13,"23,849.76","23,908.85","23,784.31","23,827.73","23,827.73"
2020/02/12,"23,741.21","23,869.73","23,693.72","23,861.21","23,861.21"
2020/02/10,"23,631.79","23,788.25","23,621.72","23,685.98","23,685.98"
2020/02/07,"23,899.01","23,943.45","23,759.42","23,827.98","23,827.98"
2020/02/06,"23,641.10","23,995.37","23,625.13","23,873.59","23,873.59"
2020/02/05,"23,351.47","23,414.69","23,241.64","23,319.56","23,319.56"
2020/02/04,"22,881.13","23,118.13","22,854.45","23,084.59","23,084.59"
2020/02/03,"22,874.27","23,023.73","22,775.92","22,971.94","22,971.94"
2020/01/31,"23,148.92","23,421.59","23,139.98","23,205.18","23,205.18"
2020/01/30,"23,284.58","23,318.57","22,892.95","22,977.75","22,977.75"
2020/01/29,"23,309.32","23,392.61","23,214.28","23,379.40","23,379.40"
2020/01/28,"23,126.93","23,243.36","23,115.15","23,215.71","23,215.71"
2020/01/27,"23,427.90","23,463.89","23,317.32","23,343.51","23,343.51"
2020/01/24,"23,850.12","23,869.38","23,755.32","23,827.18","23,827.18"
2020/01/23,"23,843.51","23,910.01","23,779.23","23,795.44","23,795.44"
2020/01/22,"23,835.49","24,040.87","23,831.10","24,031.35","24,031.35"
2020/01/21,"24,072.81","24,081.75","23,843.48","23,864.56","23,864.56"
2020/01/20,"24,080.68","24,108.11","24,061.67","24,083.51","24,083.51"
2020/01/17,"24,103.45","24,115.95","24,013.75","24,041.26","24,041.26"
2020/01/16,"23,960.20","23,975.38","23,905.38","23,933.13","23,933.13"
2020/01/15,"23,923.48","23,997.39","23,875.82","23,916.58","23,916.58"
2020/01/14,"23,969.04","24,059.86","23,951.66","24,025.17","24,025.17"
2020/01/10,"23,813.28","23,903.29","23,761.08","23,850.57","23,850.57"
2020/01/09,"23,530.29","23,767.09","23,506.15","23,739.87","23,739.87"
2020/01/08,"23,217.49","23,303.21","22,951.18","23,204.76","23,204.76"
2020/01/07,"23,320.12","23,577.44","23,299.92","23,575.72","23,575.72"
2020/01/06,"23,319.76","23,365.36","23,148.53","23,204.86","23,204.86"
2019/12/30,"23,770.93","23,782.49","23,656.62","23,656.62","23,656.62"
2019/12/27,"23,953.75","23,967.18","23,837.72","23,837.72","23,837.72"
2019/12/26,"23,787.70","23,931.51","23,775.40","23,924.92","23,924.92"
2019/12/25,"23,813.59","23,824.85","23,782.87","23,782.87","23,782.87"
2019/12/24,"23,839.18","23,853.56","23,796.35","23,830.58","23,830.58"
2019/12/23,"23,921.29","23,923.09","23,810.82","23,821.11","23,821.11"
2019/12/20,"23,893.45","23,908.77","23,746.63","23,816.63","23,816.63"
2019/12/19,"23,911.46","23,945.53","23,835.29","23,864.85","23,864.85"
2019/12/18,"24,023.27","24,046.09","23,919.36","23,934.43","23,934.43"
2019/12/17,"24,091.12","24,091.12","23,996.51","24,066.12","24,066.12"
2019/12/16,"23,955.20","24,036.30","23,950.05","23,952.35","23,952.35"
2019/12/13,"23,810.56","24,050.04","23,775.73","24,023.10","24,023.10"
2019/12/12,"23,449.28","23,468.15","23,360.43","23,424.81","23,424.81"
2019/12/11,"23,421.14","23,438.43","23,333.63","23,391.86","23,391.86"
2019/12/10,"23,372.39","23,449.47","23,336.93","23,410.19","23,410.19"
2019/12/09,"23,544.31","23,544.31","23,360.01","23,430.70","23,430.70"
2019/12/06,"23,347.67","23,412.48","23,338.40","23,354.40","23,354.40"
2019/12/05,"23,292.70","23,363.44","23,259.82","23,300.09","23,300.09"
2019/12/04,"23,186.74","23,203.77","23,044.78","23,135.23","23,135.23"
2019/12/03,"23,231.14","23,388.18","23,186.84","23,379.81","23,379.81"
2019/12/02,"23,388.63","23,562.05","23,378.40","23,529.50","23,529.50"
2019/11/29,"23,497.44","23,498.77","23,273.37","23,293.91","23,293.91"
2019/11/28,"23,458.88","23,482.32","23,367.33","23,409.14","23,409.14"
2019/11/27,"23,452.85","23,507.82","23,418.23","23,437.77","23,437.77"
