rank,title,description,date
1,20代独身女性、約6割が「生活苦しい」,（株）GV（東京都港区）はこのほど、全国の20代独身女性を対象に「生活収支に関する意識調査」を行った。調査は2020年1月17日～1月23日、インターネットで実施。350人より回答を得た。,2020年2月4日 (火)
2,四ツ谷駅前の大規模再開発、「コモレ四谷」竣工,東京・新宿区で進められてきた「四谷駅前地区第一種市街地再開発事業」、その施設建築物である「CO･MO･RE YOTSUYA（コモレ四谷）」が1月31日（金）に竣工した。,2020年2月4日 (火)
3,名古屋にオフィス複合型商業施設、イオンモール,イオンモール（株）はこのたび、「（仮称）ノリタケの森プロジェクト」（愛知県名古屋市）の建築工事に着手すると発表した。,2020年2月4日 (火)
4,縫製工場をリノベした自宅兼アトリエは、アートを楽しむ人たちで本日も大にぎ…,山形県西村山郡河北町。その街中に建つ１軒の建物は、外から見ると一戸建てだが、実は縫製工場をアトリエ付き住宅にリノベーションしたもの。1階部分のアトリエは、オーナーである佐藤潤さん...,2020年2月4日 (火)
5,住宅着工戸数、6か月連続減少,"国土交通省は1月31日、2019年12月の住宅着工統計を発表した。それによると、12月の住宅着工戸数は前年同月比7.9%減の7万2,174戸、6か月連続の減少となった。",2020年2月4日 (火)
6,【フラット35】金利、4ヵ月連続上昇,（独）住宅金融支援機構は3日、2020年2月の住宅ローン【フラット35】の金利を発表した。,2020年2月4日 (火)
7,「秋葉原駅」から電車で30分以内、家賃相場安い駅ランキング！ 2020年版,日本が誇るサブカルチャーの代名詞ともいえる街、秋葉原。古くからの電気街であるとともに、海外からの訪日客を引き付ける観光都市であり、東京のIT拠点として高層ビルが林立するオフィス街...,2020年2月3日 (月)
8,冬の睡眠時、約5割は「エアコン暖房を使用」,ダイキン工業（株）はこのほど、首都圏在住の男女400人を対象に「冬の睡眠時における空気の困りごとと寝室環境調査」を行った。調査は2019年12月5日・6日に実施。調査方法はインターネット。,2020年1月31日 (金)
9,アジア初の「エースホテル」併設、京都の複合施設「新風館」4月オープン,NTT都市開発（株）は、京都市中京区で開発を進める複合施設「新風館」を、本年4月16日（木）にグランドオープンすると発表した。また、アジア初となる「エースホテル京都」も同日開業する。,2020年1月31日 (金)
10,全国のマンション化率、12.64%に拡大,（株）東京カンテイは1月30日、2019年のマンション化率を発表した。これは、全国の世帯数に占める分譲マンション戸数の割合を示したもの。,2020年1月31日 (金)
11,中古マンション価格動向、全国的にやや足踏み,（株）東京カンテイはこのたび、2019年12月度「中古マンション価格天気図」を発表した。これは、全国47都道府県のファミリータイプ中古マンション流通事例価格を月ごとに集計し、価格変動を...,2020年1月31日 (金)
12,不動産価格指数、59ヶ月連続上昇,国土交通省はこのたび、2019年10月の「不動産価格指数（住宅）」を公表した。指数は2010年の平均を100としたもの。,2020年1月31日 (金)
13,“子育てに人気の街”弊害も。テレワークが変える郊外の子育て,前回の記事「テレワーク導入に900社が理解示さず。流山市の民間シェアオフィスが挑む高い壁」では、千葉県流山市で子育て世代の母親・父親などのテレワークを実現するシェアサテライトオフィ...,2020年1月31日 (金)
14,テレワーク導入に900社が理解示さず。流山市の民間シェアオフィスが挑む高…,テレワーク（リモートワーク）の導入が推進されてはいるものの、まだ十分に普及しているとは言えない。企業におけるテレワークの導入率はわずか19.0％（総務省「平成30年 通信利用動向調査」...,2020年1月30日 (木)
15,意外に高い平成世代の持ち家志向、住宅ローン選びでは…,カーディフ生命が実施した調査で興味深いのは、生活価値観や住まいについて「平成世代」「ロスジェネ世代」「バブル世代」に世代を区分して比較している点だ。経済・社会的背景が異なる世代...,2020年1月29日 (水)
16,横浜に商業施設「ニュウマン」2号店、5月30日オープン,（株）ルミネ（東京都渋谷区）は、本年5月30日（土）、JR横浜駅西口に商業施設「ニュウマン横浜」を開業する。,2020年1月28日 (火)
17,LGBT対象に公社賃貸住宅の⼊居資格要件を拡⼤、大阪府住宅供給公社,大阪府は1月22日（水）より、LGBTなど性的マイノリティ当事者の方を対象にした「大阪府パートナーシップ宣誓証明制度」を開始。これに伴い、大阪府住宅供給公社は公社賃貸住宅の入居資格要件...,2020年1月28日 (火)
18,「流山おおたかの森駅」周辺で3施設を新規開発,（株）高島屋（大阪市中央区）の子会社である東神開発（株）（東京都世田谷区）は、つくばエクスプレス・東武アーバンパークライン「流山おおたかの森駅」周辺エリア（千葉県流山市）で、3施...,2020年1月28日 (火)
19,2019年中古マンション平均価格、首都圏は上昇傾向を維持,（株）東京カンテイはこのたび、2019年度「三大都市圏・主要都市別／中古マンション70m2価格年別推移」を発表した。,2020年1月28日 (火)
20,2019年の首都圏中古マンション、成約件数は過去最高,（公財）東日本不動産流通機構（東日本レインズ）はこのたび、首都圏における2019年（2019年1～12月）の不動産流通市場の動向を発表した。,2020年1月28日 (火)
21,2019年の首都圏マンション、供給戸数は3年ぶりに減少,（株）不動産経済研究所はこのたび、2019年年間（1～12月）の「首都圏マンション市場動向」を発表した。,2020年1月28日 (火)
22,2019年の近畿圏マンション、新規発売は前年比13.9%減少,（株）不動産経済研究所はこのたび、2019年年間（1～12月）の「近畿圏マンション市場動向」を発表した。,2020年1月28日 (火)
23,2020年の不動産市場を読み解く3つのキーワードを発表！,1月の恒例企画、2020年の不動産市場について、さくら事務所会長の長嶋氏に予測いただきました。2020年の不動産市場はどうなるでしょうか。,2020年1月28日 (火)
24,日本に居ながら留学生活？ 多国籍シェアハウスのリアルな住み心地を聞いてみた,外国人と日本人が一つ屋根の下で暮らす、多国籍シェアハウス「ボーダレスハウス」。日本に居ながら、留学生活のように異文化に触れ合え、語学力が向上するとあって近年注目を集めている。国...,2020年1月27日 (月)
25,サービス特化型商業施設の新ブランド展開、野村不動産,野村不動産（株）はこのたび、サービス特化型商業施設の新ブランド「MEFULL（ミーフル）」をシリーズ展開すると発表した。第一弾として、2020年3月に「MEFULL 茶屋町」（大阪府大阪市）を開...,2020年1月24日 (金)
26,「ららぽーと豊洲」大規模リニューアル、3月18日より順次オープン,三井不動産（株）は、「三井ショッピングパーク アーバンドック ららぽーと豊洲」（東京都江東区）の開業後2度目となる大規模リニューアルを行い、2020年3月18日（水）より新規62店、改装40...,2020年1月24日 (金)
27,地域の持続性調査、幸福度は「川越市」・定住意欲は「福岡市」がトップ,（株）ブランド総合研究所はこのほど、地域の持続性を明らかにする「市版SDGｓ調査2020」を実施した。,2020年1月24日 (金)
28,近畿圏新築マンション、2013年9月以来の大量供給,（株）不動産経済研究所は1月22日、2019年12月度「近畿圏のマンション市場動向」を発表した。,2020年1月24日 (金)
29,お墓は必要？ 将来どうする？ 漫画で「墓活（はかかつ）」を考えよう,お墓って、先祖代々のもの。自分もそこに入り、子孫が弔ってくれるってイメージ。でも、「子どもは女子だけで嫁いで姓も変わってしまった」「お墓が田舎にあって管理が難しい」「一生独身を...,2020年1月24日 (金)
30,テレワークが変えた暮らし[6]湘南で見つけた新しい生き方。「サーフィンを…,テレワーク（リモートワーク）を利用すると、出勤準備や通勤にあてていた時間が自由に使えるようになります。その時間で、サーフィンや畑などのやってみたかったことを始め、ついには新しい...,2020年1月23日 (木)
31,テレワークが住まいを変える！？2020年の住まいトレンドは「職住融合」,近年恒例となった、リクルートホールディングスの「2020年のトレンド予測」が発表された。これは、住まい・飲食・雇用など7領域の「新たな兆し」を見出して、2020年のトレンドになると予測し...,2020年1月22日 (水)
32,女性の物件選び、こだわり1位は「風呂・トイレ別」,（株）エコラボ・デザインハウスはこのほど、全国20代～30代女性を対象に「住みたい物件の条件」に関する意識調査を行った。調査は2019年12月12日（木）・13日（金）にインターネットで実施...,2020年1月21日 (火)
33,令和時代の理想のパパ像、1位は「つるの剛士さん」,（株）東北新社が運営する「家men総合研究所」は、男性の家事・育児に対する意識や令和時代のパパの実態についてアンケート調査を行った。,2020年1月21日 (火)
34,渋谷で公園・ホテル等の一体開発、街区名は「MIYASHITA PARK」に,渋谷区渋谷一丁目及び神宮前六丁目で進められてきた「（仮称）新宮下公園等整備事業」（東京都渋谷区）の街区名が、このたび「MIYASHITA PARK」に決定した。竣工は2020年4月、グランドオープ...,2020年1月21日 (火)
35,高架下商業空間「日比谷ＯＫＵＲＯＪＩ」、6月下旬にオープン,（株）ジェイアール東日本都市開発は本年6月下旬、JR「有楽町駅」～「新橋駅間」の高架下空間に「日比谷ＯＫＵＲＯＪＩ」（東京都千代田区）を開業する。,2020年1月21日 (火)
36,横浜北仲エリアの複合施設、4月に完成,横浜北仲エリアの新たなランドマークとして開発が進んできた複合施設「（仮称）馬車道駅直結 横浜北仲タワープロジェクト」が、本年4月に完成する。,2020年1月21日 (火)
